2025-01-30 13:37:10.862556 | 1036 | Small Dr Pepper® Float | 3.99
2025-01-30 13:37:10.862556 | 1036 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:10.862556 | 1036 | Small BARQ’S® Root Beer Float | 3.99
2025-01-30 13:37:13.106293 | 1037 | Small Coca-Cola® Float | No price
2025-01-30 13:37:13.106293 | 1037 | Small Fanta® Orange Float | No price
2025-01-30 13:37:13.106293 | 1037 | Small Dr Pepper® Float | No price
2025-01-30 13:37:13.106293 | 1037 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:13.106293 | 1037 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:14.664422 | 1038 | Small Coca-Cola® Float | 3.49
2025-01-30 13:37:14.664422 | 1038 | Small Fanta® Orange Float | 3.49
2025-01-30 13:37:14.664422 | 1038 | Small Dr Pepper® Float | 3.49
2025-01-30 13:37:14.664422 | 1038 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:14.664422 | 1038 | Small BARQ’S® Root Beer Float | 3.49
2025-01-30 13:37:16.309942 | 1040 | Small Coca-Cola® Float | No price
2025-01-30 13:37:16.309942 | 1040 | Small Fanta® Orange Float | No price
2025-01-30 13:37:16.309942 | 1040 | Small Dr Pepper® Float | No price
2025-01-30 13:37:16.309942 | 1040 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:16.309942 | 1040 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:17.933834 | 1042 | Small Coca-Cola® Float | No price
2025-01-30 13:37:17.933834 | 1042 | Small Fanta® Orange Float | No price
2025-01-30 13:37:17.933834 | 1042 | Small Dr Pepper® Float | No price
2025-01-30 13:37:17.933834 | 1042 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:17.933834 | 1042 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:19.361578 | 1043 | Small Coca-Cola® Float | 4.09
2025-01-30 13:37:19.361578 | 1043 | Small Fanta® Orange Float | 4.09
2025-01-30 13:37:19.361578 | 1043 | Small Dr Pepper® Float | 4.09
2025-01-30 13:37:19.361578 | 1043 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:37:19.361578 | 1043 | Small BARQ’S® Root Beer Float | 4.09
2025-01-30 13:37:20.713271 | 1044 | Small Coca-Cola® Float | No price
2025-01-30 13:37:20.713271 | 1044 | Small Fanta® Orange Float | No price
2025-01-30 13:37:20.713271 | 1044 | Small Dr Pepper® Float | No price
2025-01-30 13:37:20.713271 | 1044 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:20.713271 | 1044 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:37:22.577693 | 1045 | Small Coca-Cola® Float | 4.29
2025-01-30 13:37:22.577693 | 1045 | Small Fanta® Orange Float | 4.29
2025-01-30 13:37:22.577693 | 1045 | Small Dr Pepper® Float | 4.29
2025-01-30 13:37:22.577693 | 1045 | Jr. Deluxe Cheeseburger | 4.69
2025-01-30 13:37:22.577693 | 1045 | Small BARQ’S® Root Beer Float | 4.29
