2025-01-28 13:18:00.083042 | 1003 | Small Coca-Cola® Float | 2.94
2025-01-28 13:18:06.802732 | 1008 | Small Coca-Cola® Float | 4.19
2025-01-28 13:18:06.802732 | 1008 | Small Fanta® Orange Float | 4.19
2025-01-28 13:18:06.802732 | 1008 | Small Dr Pepper® Float | 4.19
2025-01-28 13:18:06.802732 | 1008 | Jr. Deluxe Cheeseburger | 2.79
2025-01-28 13:18:06.802732 | 1008 | Small BARQ’S® Root Beer Float | 4.19
2025-01-28 13:18:08.093150 | 1009 | Small Coca-Cola® Float | No price
2025-01-28 13:18:08.093150 | 1009 | Small Fanta® Orange Float | No price
2025-01-28 13:18:08.093150 | 1009 | Small Dr Pepper® Float | No price
2025-01-28 13:18:08.093150 | 1009 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:08.093150 | 1009 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:09.376136 | 1010 | Small Coca-Cola® Float | 3.49
2025-01-28 13:18:09.376136 | 1010 | Small Fanta® Orange Float | 3.49
2025-01-28 13:18:09.376136 | 1010 | Small Dr Pepper® Float | 3.49
2025-01-28 13:18:09.376136 | 1010 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:09.376136 | 1010 | Small BARQ’S® Root Beer Float | 3.49
2025-01-28 13:18:10.883483 | 1012 | Small Coca-Cola® Float | 3.69
2025-01-28 13:18:10.883483 | 1012 | Small Fanta® Orange Float | 3.69
2025-01-28 13:18:10.883483 | 1012 | Small Dr Pepper® Float | 3.69
2025-01-28 13:18:10.883483 | 1012 | Jr. Deluxe Cheeseburger | 2.19
2025-01-28 13:18:10.883483 | 1012 | Small BARQ’S® Root Beer Float | 3.69
2025-01-28 13:18:12.094511 | 1013 | Small Coca-Cola® Float | 3.78
2025-01-28 13:18:12.094511 | 1013 | Small Fanta® Orange Float | 3.78
2025-01-28 13:18:12.094511 | 1013 | Small Dr Pepper® Float | 3.78
2025-01-28 13:18:12.094511 | 1013 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:12.094511 | 1013 | Small BARQ’S® Root Beer Float | 3.78
2025-01-28 13:18:13.572001 | 1014 | Small Coca-Cola® Float | 3.79
2025-01-28 13:18:13.572001 | 1014 | Small Fanta® Orange Float | 3.79
2025-01-28 13:18:13.572001 | 1014 | Small Dr Pepper® Float | 3.79
2025-01-28 13:18:13.572001 | 1014 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:13.572001 | 1014 | Small BARQ’S® Root Beer Float | 3.79
2025-01-28 13:18:14.890208 | 1015 | Small Coca-Cola® Float | 3.54
2025-01-28 13:18:14.890208 | 1015 | Small Fanta® Orange Float | 3.54
2025-01-28 13:18:14.890208 | 1015 | Small Dr Pepper® Float | 3.54
2025-01-28 13:18:14.890208 | 1015 | Jr. Deluxe Cheeseburger | 2.09
2025-01-28 13:18:14.890208 | 1015 | Small BARQ’S® Root Beer Float | 3.54
2025-01-28 13:18:16.122926 | 1016 | Small Coca-Cola® Float | 3.99
2025-01-28 13:18:16.122926 | 1016 | Small Fanta® Orange Float | 3.99
2025-01-28 13:18:16.122926 | 1016 | Small Dr Pepper® Float | 3.99
2025-01-28 13:18:16.122926 | 1016 | Jr. Deluxe Cheeseburger | 2.49
2025-01-28 13:18:16.122926 | 1016 | Small BARQ’S® Root Beer Float | 3.99
2025-01-28 13:18:17.391407 | 1017 | Small Coca-Cola® Float | 4.09
2025-01-28 13:18:17.391407 | 1017 | Small Fanta® Orange Float | 4.09
2025-01-28 13:18:17.391407 | 1017 | Small Dr Pepper® Float | 4.09
2025-01-28 13:18:17.391407 | 1017 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:17.391407 | 1017 | Small BARQ’S® Root Beer Float | 4.09
2025-01-28 13:18:18.715770 | 1019 | Small Coca-Cola® Float | No price
2025-01-28 13:18:18.715770 | 1019 | Small Fanta® Orange Float | No price
2025-01-28 13:18:18.715770 | 1019 | Small Dr Pepper® Float | No price
2025-01-28 13:18:18.715770 | 1019 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:18.715770 | 1019 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:20.003100 | 1021 | Small Coca-Cola® Float | 3.59
2025-01-28 13:18:20.003100 | 1021 | Small Fanta® Orange Float | 3.59
2025-01-28 13:18:20.003100 | 1021 | Small Dr Pepper® Float | 3.59
2025-01-28 13:18:20.003100 | 1021 | Jr. Deluxe Cheeseburger | 2.79
2025-01-28 13:18:20.003100 | 1021 | Small BARQ’S® Root Beer Float | 3.59
2025-01-28 13:18:21.200660 | 1022 | Small Coca-Cola® Float | 3.94
2025-01-28 13:18:21.200660 | 1022 | Small Fanta® Orange Float | 3.94
2025-01-28 13:18:21.200660 | 1022 | Small Dr Pepper® Float | 3.94
2025-01-28 13:18:21.200660 | 1022 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:21.200660 | 1022 | Small BARQ’S® Root Beer Float | 3.94
2025-01-28 13:18:22.681520 | 1023 | Small Coca-Cola® Float | 3.79
2025-01-28 13:18:22.681520 | 1023 | Small Fanta® Orange Float | 3.79
2025-01-28 13:18:22.681520 | 1023 | Small Dr Pepper® Float | 3.79
2025-01-28 13:18:22.681520 | 1023 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:22.681520 | 1023 | Small BARQ’S® Root Beer Float | 3.79
2025-01-28 13:18:23.813985 | 1024 | Small Coca-Cola® Float | No price
2025-01-28 13:18:23.813985 | 1024 | Small Fanta® Orange Float | No price
2025-01-28 13:18:23.813985 | 1024 | Small Dr Pepper® Float | No price
2025-01-28 13:18:23.813985 | 1024 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:23.813985 | 1024 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:25.214752 | 1025 | Small Coca-Cola® Float | No price
2025-01-28 13:18:25.214752 | 1025 | Small Fanta® Orange Float | No price
2025-01-28 13:18:25.214752 | 1025 | Small Dr Pepper® Float | No price
2025-01-28 13:18:25.214752 | 1025 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:25.214752 | 1025 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:26.552377 | 1026 | Small Coca-Cola® Float | 3.49
2025-01-28 13:18:26.552377 | 1026 | Small Fanta® Orange Float | 3.49
2025-01-28 13:18:26.552377 | 1026 | Small Dr Pepper® Float | 3.49
2025-01-28 13:18:26.552377 | 1026 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:26.552377 | 1026 | Small BARQ’S® Root Beer Float | 3.49
2025-01-28 13:18:27.647500 | 1028 | Small Coca-Cola® Float | No price
2025-01-28 13:18:27.647500 | 1028 | Small Fanta® Orange Float | No price
2025-01-28 13:18:27.647500 | 1028 | Small Dr Pepper® Float | No price
2025-01-28 13:18:27.647500 | 1028 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:27.647500 | 1028 | Small BARQ’S® Root Beer Float | 3.54
2025-01-28 13:18:29.007266 | 1029 | Small Coca-Cola® Float | 4.89
2025-01-28 13:18:29.007266 | 1029 | Small Fanta® Orange Float | 4.89
2025-01-28 13:18:29.007266 | 1029 | Small Dr Pepper® Float | 4.89
2025-01-28 13:18:29.007266 | 1029 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:29.007266 | 1029 | Small BARQ’S® Root Beer Float | 4.89
2025-01-28 13:18:30.304805 | 1030 | Small Coca-Cola® Float | 3.54
2025-01-28 13:18:30.304805 | 1030 | Small Fanta® Orange Float | 3.54
2025-01-28 13:18:30.304805 | 1030 | Small Dr Pepper® Float | 3.54
2025-01-28 13:18:30.304805 | 1030 | Jr. Deluxe Cheeseburger | 2.49
2025-01-28 13:18:30.304805 | 1030 | Small BARQ’S® Root Beer Float | 3.54
2025-01-28 13:18:31.506129 | 1031 | Small Coca-Cola® Float | 3.99
2025-01-28 13:18:31.506129 | 1031 | Small Fanta® Orange Float | 3.99
2025-01-28 13:18:31.506129 | 1031 | Small Dr Pepper® Float | 3.99
2025-01-28 13:18:31.506129 | 1031 | Jr. Deluxe Cheeseburger | 2.49
2025-01-28 13:18:31.506129 | 1031 | Small BARQ’S® Root Beer Float | 3.99
2025-01-28 13:18:33.209020 | 1032 | Small Coca-Cola® Float | 3.29
2025-01-28 13:18:33.209020 | 1032 | Small Fanta® Orange Float | 3.29
2025-01-28 13:18:33.209020 | 1032 | Small Dr Pepper® Float | 3.29
2025-01-28 13:18:33.209020 | 1032 | Jr. Deluxe Cheeseburger | 2.59
2025-01-28 13:18:33.209020 | 1032 | Small BARQ’S® Root Beer Float | 3.29
2025-01-28 13:18:34.638896 | 1033 | Small Coca-Cola® Float | 3.79
2025-01-28 13:18:34.638896 | 1033 | Small Fanta® Orange Float | 3.79
2025-01-28 13:18:34.638896 | 1033 | Small Dr Pepper® Float | 3.79
2025-01-28 13:18:34.638896 | 1033 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:34.638896 | 1033 | Small BARQ’S® Root Beer Float | 3.79
2025-01-28 13:18:35.878110 | 1034 | Small Coca-Cola® Float | 3.94
2025-01-28 13:18:35.878110 | 1034 | Small Fanta® Orange Float | 3.94
2025-01-28 13:18:35.878110 | 1034 | Small Dr Pepper® Float | 3.94
2025-01-28 13:18:35.878110 | 1034 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:35.878110 | 1034 | Small BARQ’S® Root Beer Float | 3.94
2025-01-28 13:18:37.332451 | 1035 | Small Coca-Cola® Float | 2.79
2025-01-28 13:18:37.332451 | 1035 | Small Fanta® Orange Float | 2.79
2025-01-28 13:18:37.332451 | 1035 | Small Dr Pepper® Float | 2.79
2025-01-28 13:18:37.332451 | 1035 | Jr. Deluxe Cheeseburger | 2.99
2025-01-28 13:18:37.332451 | 1035 | Small BARQ’S® Root Beer Float | 2.79
2025-01-28 13:18:38.578459 | 1036 | Small Coca-Cola® Float | 3.99
2025-01-28 13:18:38.578459 | 1036 | Small Fanta® Orange Float | 3.99
2025-01-28 13:18:38.578459 | 1036 | Small Dr Pepper® Float | 3.99
2025-01-28 13:18:38.578459 | 1036 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:38.578459 | 1036 | Small BARQ’S® Root Beer Float | 3.99
2025-01-28 13:18:40.013984 | 1037 | Small Coca-Cola® Float | No price
2025-01-28 13:18:40.013984 | 1037 | Small Fanta® Orange Float | No price
2025-01-28 13:18:40.013984 | 1037 | Small Dr Pepper® Float | No price
2025-01-28 13:18:40.013984 | 1037 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:40.013984 | 1037 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:41.170805 | 1038 | Small Coca-Cola® Float | 3.49
2025-01-28 13:18:41.170805 | 1038 | Small Fanta® Orange Float | 3.49
2025-01-28 13:18:41.170805 | 1038 | Small Dr Pepper® Float | 3.49
2025-01-28 13:18:41.170805 | 1038 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:41.170805 | 1038 | Small BARQ’S® Root Beer Float | 3.49
2025-01-28 13:18:42.615332 | 1040 | Small Coca-Cola® Float | No price
2025-01-28 13:18:42.615332 | 1040 | Small Fanta® Orange Float | No price
2025-01-28 13:18:42.615332 | 1040 | Small Dr Pepper® Float | No price
2025-01-28 13:18:42.615332 | 1040 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:42.615332 | 1040 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:43.946380 | 1042 | Small Coca-Cola® Float | No price
2025-01-28 13:18:43.946380 | 1042 | Small Fanta® Orange Float | No price
2025-01-28 13:18:43.946380 | 1042 | Small Dr Pepper® Float | No price
2025-01-28 13:18:43.946380 | 1042 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:43.946380 | 1042 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:45.078184 | 1043 | Small Coca-Cola® Float | 4.09
2025-01-28 13:18:45.078184 | 1043 | Small Fanta® Orange Float | 4.09
2025-01-28 13:18:45.078184 | 1043 | Small Dr Pepper® Float | 4.09
2025-01-28 13:18:45.078184 | 1043 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:45.078184 | 1043 | Small BARQ’S® Root Beer Float | 4.09
2025-01-28 13:18:46.480405 | 1044 | Small Coca-Cola® Float | No price
2025-01-28 13:18:46.480405 | 1044 | Small Fanta® Orange Float | No price
2025-01-28 13:18:46.480405 | 1044 | Small Dr Pepper® Float | No price
2025-01-28 13:18:46.480405 | 1044 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:46.480405 | 1044 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:47.663100 | 1045 | Small Coca-Cola® Float | 4.29
2025-01-28 13:18:47.663100 | 1045 | Small Fanta® Orange Float | 4.29
2025-01-28 13:18:47.663100 | 1045 | Small Dr Pepper® Float | 4.29
2025-01-28 13:18:47.663100 | 1045 | Jr. Deluxe Cheeseburger | 4.69
2025-01-28 13:18:47.663100 | 1045 | Small BARQ’S® Root Beer Float | 4.29
2025-01-28 13:18:49.178525 | 1046 | Small Coca-Cola® Float | 4.29
2025-01-28 13:18:49.178525 | 1046 | Small Fanta® Orange Float | 4.29
2025-01-28 13:18:49.178525 | 1046 | Small Dr Pepper® Float | 4.29
2025-01-28 13:18:49.178525 | 1046 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:49.178525 | 1046 | Small BARQ’S® Root Beer Float | 4.29
2025-01-28 13:18:50.600438 | 1047 | Small Coca-Cola® Float | No price
2025-01-28 13:18:50.600438 | 1047 | Small Fanta® Orange Float | No price
2025-01-28 13:18:50.600438 | 1047 | Small Dr Pepper® Float | No price
2025-01-28 13:18:50.600438 | 1047 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:50.600438 | 1047 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:51.904071 | 1048 | Small Coca-Cola® Float | 3.99
2025-01-28 13:18:51.904071 | 1048 | Small Fanta® Orange Float | 3.99
2025-01-28 13:18:51.904071 | 1048 | Small Dr Pepper® Float | 3.99
2025-01-28 13:18:51.904071 | 1048 | Jr. Deluxe Cheeseburger | 2.99
2025-01-28 13:18:51.904071 | 1048 | Small BARQ’S® Root Beer Float | 3.99
2025-01-28 13:18:53.013889 | 1050 | Small Coca-Cola® Float | No price
2025-01-28 13:18:53.013889 | 1050 | Small Fanta® Orange Float | No price
2025-01-28 13:18:53.013889 | 1050 | Small Dr Pepper® Float | No price
2025-01-28 13:18:53.013889 | 1050 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:53.013889 | 1050 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:54.500445 | 1051 | Small Coca-Cola® Float | 3.79
2025-01-28 13:18:54.500445 | 1051 | Small Fanta® Orange Float | 3.79
2025-01-28 13:18:54.500445 | 1051 | Small Dr Pepper® Float | 3.79
2025-01-28 13:18:54.500445 | 1051 | Jr. Deluxe Cheeseburger | 2.89
2025-01-28 13:18:54.500445 | 1051 | Small BARQ’S® Root Beer Float | 3.79
2025-01-28 13:18:55.712086 | 1052 | Small Coca-Cola® Float | No price
2025-01-28 13:18:55.712086 | 1052 | Small Fanta® Orange Float | No price
2025-01-28 13:18:55.712086 | 1052 | Small Dr Pepper® Float | No price
2025-01-28 13:18:55.712086 | 1052 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:55.712086 | 1052 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:18:57.087808 | 1053 | Small Coca-Cola® Float | 3.78
2025-01-28 13:18:57.087808 | 1053 | Small Fanta® Orange Float | 3.78
2025-01-28 13:18:57.087808 | 1053 | Small Dr Pepper® Float | 3.78
2025-01-28 13:18:57.087808 | 1053 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:57.087808 | 1053 | Small BARQ’S® Root Beer Float | 3.78
2025-01-28 13:18:58.409876 | 1054 | Small Coca-Cola® Float | 3.78
2025-01-28 13:18:58.409876 | 1054 | Small Fanta® Orange Float | 3.78
2025-01-28 13:18:58.409876 | 1054 | Small Dr Pepper® Float | 3.78
2025-01-28 13:18:58.409876 | 1054 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:18:58.409876 | 1054 | Small BARQ’S® Root Beer Float | 3.78
2025-01-28 13:18:59.560609 | 1055 | Small Coca-Cola® Float | No price
2025-01-28 13:18:59.560609 | 1055 | Small Fanta® Orange Float | No price
2025-01-28 13:18:59.560609 | 1055 | Small Dr Pepper® Float | No price
2025-01-28 13:18:59.560609 | 1055 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:18:59.560609 | 1055 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:01.171902 | 1056 | Small Coca-Cola® Float | 3.79
2025-01-28 13:19:01.171902 | 1056 | Small Fanta® Orange Float | 3.79
2025-01-28 13:19:01.171902 | 1056 | Small Dr Pepper® Float | 3.79
2025-01-28 13:19:01.171902 | 1056 | Jr. Deluxe Cheeseburger | 2.79
2025-01-28 13:19:01.171902 | 1056 | Small BARQ’S® Root Beer Float | 3.79
2025-01-28 13:19:02.915116 | 1057 | Small Coca-Cola® Float | 3.79
2025-01-28 13:19:02.915116 | 1057 | Small Fanta® Orange Float | 3.79
2025-01-28 13:19:02.915116 | 1057 | Small Dr Pepper® Float | 3.79
2025-01-28 13:19:02.915116 | 1057 | Jr. Deluxe Cheeseburger | 2.79
2025-01-28 13:19:02.915116 | 1057 | Small BARQ’S® Root Beer Float | 3.79
2025-01-28 13:19:04.253701 | 1058 | Small Coca-Cola® Float | 3.54
2025-01-28 13:19:04.253701 | 1058 | Small Fanta® Orange Float | 3.54
2025-01-28 13:19:04.253701 | 1058 | Small Dr Pepper® Float | 3.54
2025-01-28 13:19:04.253701 | 1058 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:19:04.253701 | 1058 | Small BARQ’S® Root Beer Float | 3.54
2025-01-28 13:19:05.802251 | 1059 | Small Coca-Cola® Float | No price
2025-01-28 13:19:05.802251 | 1059 | Small Fanta® Orange Float | No price
2025-01-28 13:19:05.802251 | 1059 | Small Dr Pepper® Float | No price
2025-01-28 13:19:05.802251 | 1059 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:19:05.802251 | 1059 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:06.940117 | 1060 | Small Coca-Cola® Float | No price
2025-01-28 13:19:06.940117 | 1060 | Small Fanta® Orange Float | No price
2025-01-28 13:19:06.940117 | 1060 | Small Dr Pepper® Float | No price
2025-01-28 13:19:06.940117 | 1060 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:19:06.940117 | 1060 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:08.312068 | 1061 | Small Coca-Cola® Float | No price
2025-01-28 13:19:08.312068 | 1061 | Small Fanta® Orange Float | No price
2025-01-28 13:19:08.312068 | 1061 | Small Dr Pepper® Float | No price
2025-01-28 13:19:08.312068 | 1061 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:19:08.312068 | 1061 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:09.998182 | 1062 | Small Coca-Cola® Float | No price
2025-01-28 13:19:09.998182 | 1062 | Small Fanta® Orange Float | No price
2025-01-28 13:19:09.998182 | 1062 | Small Dr Pepper® Float | No price
2025-01-28 13:19:09.998182 | 1062 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:19:09.998182 | 1062 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:11.161163 | 1063 | Small Coca-Cola® Float | No price
2025-01-28 13:19:11.161163 | 1063 | Small Fanta® Orange Float | No price
2025-01-28 13:19:11.161163 | 1063 | Small Dr Pepper® Float | No price
2025-01-28 13:19:11.161163 | 1063 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:19:11.161163 | 1063 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:12.637618 | 1064 | Small Coca-Cola® Float | No price
2025-01-28 13:19:12.637618 | 1064 | Small Fanta® Orange Float | No price
2025-01-28 13:19:12.637618 | 1064 | Small Dr Pepper® Float | No price
2025-01-28 13:19:12.637618 | 1064 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:19:12.637618 | 1064 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:13.911638 | 1065 | Small Coca-Cola® Float | 3.99
2025-01-28 13:19:13.911638 | 1065 | Small Fanta® Orange Float | 3.99
2025-01-28 13:19:13.911638 | 1065 | Small Dr Pepper® Float | 3.99
2025-01-28 13:19:13.911638 | 1065 | Jr. Deluxe Cheeseburger | 2.49
2025-01-28 13:19:13.911638 | 1065 | Small BARQ’S® Root Beer Float | 3.99
2025-01-28 13:19:15.374233 | 1066 | Small Coca-Cola® Float | 4.69
2025-01-28 13:19:15.374233 | 1066 | Small Fanta® Orange Float | 4.69
2025-01-28 13:19:15.374233 | 1066 | Small Dr Pepper® Float | 4.69
2025-01-28 13:19:15.374233 | 1066 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:19:15.374233 | 1066 | Small BARQ’S® Root Beer Float | 4.69
2025-01-28 13:19:16.897660 | 1067 | Small Coca-Cola® Float | 4.29
2025-01-28 13:19:16.897660 | 1067 | Small Fanta® Orange Float | 4.29
2025-01-28 13:19:16.897660 | 1067 | Small Dr Pepper® Float | 4.29
2025-01-28 13:19:16.897660 | 1067 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:19:16.897660 | 1067 | Small BARQ’S® Root Beer Float | 4.29
2025-01-28 13:19:17.987358 | 1068 | Small Coca-Cola® Float | No price
2025-01-28 13:19:17.987358 | 1068 | Small Fanta® Orange Float | No price
2025-01-28 13:19:17.987358 | 1068 | Small Dr Pepper® Float | No price
2025-01-28 13:19:17.987358 | 1068 | Jr. Deluxe Cheeseburger | No price
2025-01-28 13:19:17.987358 | 1068 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:19.455320 | 1070 | Small Coca-Cola® Float | 4.29
2025-01-28 13:19:19.455320 | 1070 | Small Fanta® Orange Float | 4.29
2025-01-28 13:19:19.455320 | 1070 | Small Dr Pepper® Float | 4.29
2025-01-28 13:19:19.455320 | 1070 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:19:19.455320 | 1070 | Small BARQ’S® Root Beer Float | 4.29
2025-01-28 13:19:20.768678 | 1071 | Small Coca-Cola® Float | 4.29
2025-01-28 13:19:20.768678 | 1071 | Small Fanta® Orange Float | 4.29
2025-01-28 13:19:20.768678 | 1071 | Small Dr Pepper® Float | 4.29
2025-01-28 13:19:20.768678 | 1071 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:19:20.768678 | 1071 | Small BARQ’S® Root Beer Float | 4.29
2025-01-28 13:19:21.901700 | 1073 | Small Coca-Cola® Float | 4.79
2025-01-28 13:19:21.901700 | 1073 | Small Fanta® Orange Float | 4.79
2025-01-28 13:19:21.901700 | 1073 | Small Dr Pepper® Float | 4.79
2025-01-28 13:19:21.901700 | 1073 | Jr. Deluxe Cheeseburger | 3.59
2025-01-28 13:19:21.901700 | 1073 | Small BARQ’S® Root Beer Float | 4.79
2025-01-28 13:19:23.417092 | 1074 | Small Coca-Cola® Float | 4.29
2025-01-28 13:19:23.417092 | 1074 | Small Fanta® Orange Float | 4.29
2025-01-28 13:19:23.417092 | 1074 | Small Dr Pepper® Float | 4.29
2025-01-28 13:19:23.417092 | 1074 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:19:23.417092 | 1074 | Small BARQ’S® Root Beer Float | 4.29
2025-01-28 13:19:24.709929 | 1075 | Small Coca-Cola® Float | 3.59
2025-01-28 13:19:24.709929 | 1075 | Small Fanta® Orange Float | 3.59
2025-01-28 13:19:24.709929 | 1075 | Small Dr Pepper® Float | 3.59
2025-01-28 13:19:24.709929 | 1075 | Jr. Deluxe Cheeseburger | 2.19
2025-01-28 13:19:24.709929 | 1075 | Small BARQ’S® Root Beer Float | 3.59
2025-01-28 13:19:25.897155 | 1076 | Small Coca-Cola® Float | 4.99
2025-01-28 13:19:25.897155 | 1076 | Small Fanta® Orange Float | 4.99
2025-01-28 13:19:25.897155 | 1076 | Small Dr Pepper® Float | 4.99
2025-01-28 13:19:25.897155 | 1076 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:19:25.897155 | 1076 | Small BARQ’S® Root Beer Float | 4.99
2025-01-28 13:19:27.571694 | 1077 | Small Coca-Cola® Float | 4.79
2025-01-28 13:19:27.571694 | 1077 | Small Fanta® Orange Float | 4.79
2025-01-28 13:19:27.571694 | 1077 | Small Dr Pepper® Float | 4.79
2025-01-28 13:19:27.571694 | 1077 | Jr. Deluxe Cheeseburger | 3.59
2025-01-28 13:19:27.571694 | 1077 | Small BARQ’S® Root Beer Float | 4.79
2025-01-28 13:19:28.944091 | 1078 | Small Coca-Cola® Float | 4.29
2025-01-28 13:19:28.944091 | 1078 | Small Fanta® Orange Float | 4.29
2025-01-28 13:19:28.944091 | 1078 | Small Dr Pepper® Float | 4.29
2025-01-28 13:19:28.944091 | 1078 | Jr. Deluxe Cheeseburger | 1.99
2025-01-28 13:19:28.944091 | 1078 | Small BARQ’S® Root Beer Float | 4.29
2025-01-28 13:19:30.395026 | 1081 | Small Coca-Cola® Float | No price
2025-01-28 13:19:30.395026 | 1081 | Small Fanta® Orange Float | No price
2025-01-28 13:19:30.395026 | 1081 | Small Dr Pepper® Float | No price
2025-01-28 13:19:30.395026 | 1081 | Jr. Deluxe Cheeseburger | 3.29
2025-01-28 13:19:30.395026 | 1081 | Small BARQ’S® Root Beer Float | No price
2025-01-28 13:19:31.808667 | 1082 | Small Coca-Cola® Float | 4.18
